date,service,daily_cost,is_anomaly
2026-04-26,S3,9.31,0
2026-04-27,CloudFront,8.55,0
2026-04-27,EC2,38.92,0
2026-04-27,Lambda,5.9,0
2026-04-27,RDS,24.2,0
2026-04-27,S3,9.26,0
2026-04-28,CloudFront,12.83,0
2026-04-28,EC2,36.76,0
2026-04-28,Lambda,6.26,0
2026-04-28,RDS,30.2,0
2026-04-28,S3,7.99,0
2026-04-29,CloudFront,11.84,0
2026-04-29,EC2,47.06,0
2026-04-29,Lambda,5.5,0
2026-04-29,RDS,102.23,1
2026-04-29,S3,9.57,0
2026-04-30,CloudFront,11.98,0
2026-04-30,EC2,47.49,0
2026-04-30,Lambda,7.05,0
2026-04-30,RDS,19.76,0
2026-04-30,S3,9.01,0
2026-05-01,CloudFront,11.12,0
2026-05-01,EC2,50.5,0
2026-05-01,Lambda,5.66,0
2026-05-01,RDS,25.22,0
2026-05-01,S3,8.82,0
2026-05-02,CloudFront,9.02,0
2026-05-02,EC2,36.22,0
2026-05-02,Lambda,3.06,0
2026-05-02,RDS,17.71,0
2026-05-02,S3,6.12,0
2026-05-03,CloudFront,8.95,0
2026-05-03,EC2,35.26,0
2026-05-03,Lambda,4.68,0
2026-05-03,RDS,15.34,0
2026-05-03,S3,6.07,0
2026-05-04,CloudFront,13.43,0
2026-05-04,EC2,42.09,0
2026-05-04,Lambda,4.55,0
2026-05-04,RDS,24.89,0
2026-05-04,S3,6.59,0
2026-05-05,CloudFront,9.63,0
2026-05-05,EC2,47.34,0
2026-05-05,Lambda,7.22,0
2026-05-05,RDS,19.84,0
2026-05-05,S3,11.56,0
2026-05-06,CloudFront,13.54,0
2026-05-06,EC2,181.4,1
2026-05-06,Lambda,6.22,0
2026-05-06,RDS,22.89,0
2026-05-06,S3,10.19,0
2026-05-07,CloudFront,13.19,0
2026-05-07,EC2,41.89,0
2026-05-07,Lambda,3.53,0
2026-05-07,RDS,29.91,0
2026-05-07,S3,9.74,0
2026-05-08,CloudFront,12.25,0
2026-05-08,EC2,52.03,0
2026-05-08,Lambda,6.75,0
2026-05-08,RDS,21.45,0
2026-05-08,S3,8.98,0
2026-05-09,CloudFront,8.55,0
2026-05-09,EC2,39.63,0
2026-05-09,Lambda,4.49,0
2026-05-09,RDS,17.17,0
2026-05-09,S3,5.58,0
2026-05-10,CloudFront,8.34,0
2026-05-10,EC2,30.81,0
2026-05-10,Lambda,4.86,0
2026-05-10,RDS,14.25,0
2026-05-10,S3,26.9,1
2026-05-11,CloudFront,11.3,0
2026-05-11,EC2,39.5,0
2026-05-11,Lambda,5.8,0
2026-05-11,RDS,25.31,0
2026-05-11,S3,6.75,0
2026-05-12,CloudFront,11.57,0
2026-05-12,EC2,48.44,0
2026-05-12,Lambda,7.16,0
2026-05-12,RDS,20.34,0
2026-05-12,S3,7.87,0
2026-05-13,CloudFront,8.07,0
2026-05-13,EC2,51.41,0
2026-05-13,Lambda,4.96,0
2026-05-13,RDS,24.02,0
2026-05-13,S3,8.59,0
2026-05-14,CloudFront,16.79,0
2026-05-14,EC2,38.12,0
2026-05-14,Lambda,6.81,0
2026-05-14,RDS,26.47,0
2026-05-14,S3,11.02,0
2026-05-15,CloudFront,13.97,0
2026-05-15,EC2,41.56,0
2026-05-15,Lambda,6.11,0
2026-05-15,RDS,22.13,0
2026-05-15,S3,10.33,0
2026-05-16,CloudFront,11.58,0
2026-05-16,EC2,37.73,0
2026-05-16,Lambda,2.82,0
2026-05-16,RDS,18.44,0
2026-05-16,S3,9.83,0
2026-05-17,CloudFront,9.56,0
2026-05-17,EC2,32.98,0
2026-05-17,Lambda,2.76,0
2026-05-17,RDS,17.91,0
2026-05-17,S3,8.09,0
2026-05-18,CloudFront,10.07,0
2026-05-18,EC2,61.72,0
2026-05-18,Lambda,5.4,0
2026-05-18,RDS,26.61,0
2026-05-18,S3,8.53,0
2026-05-19,CloudFront,53.34,1
2026-05-19,EC2,46.54,0
2026-05-19,Lambda,4.82,0
2026-05-19,RDS,24.97,0
2026-05-19,S3,8.05,0
2026-05-20,CloudFront,11.02,0
2026-05-20,EC2,251.98,1
2026-05-20,Lambda,3.53,0
2026-05-20,RDS,27.45,0
2026-05-20,S3,5.9,0
2026-05-21,CloudFront,9.54,0
2026-05-21,EC2,51.62,0
2026-05-21,Lambda,4.36,0
2026-05-21,RDS,22.1,0
2026-05-21,S3,10.82,0
2026-05-22,CloudFront,15.34,0
2026-05-22,EC2,341.69,1
2026-05-22,Lambda,5.56,0
2026-05-22,RDS,18.59,0
2026-05-22,S3,8.58,0
2026-05-23,CloudFront,9.17,0
2026-05-23,EC2,37.03,0
2026-05-23,Lambda,3.55,0
2026-05-23,RDS,12.81,0
2026-05-23,S3,6.5,0
2026-05-24,CloudFront,10.53,0
2026-05-24,EC2,32.08,0
2026-05-24,Lambda,6.21,0
2026-05-24,RDS,13.04,0
2026-05-24,S3,6.31,0
2026-05-25,CloudFront,68.71,1
2026-05-25,EC2,50.47,0
2026-05-25,Lambda,4.99,0
2026-05-25,RDS,21.95,0
2026-05-25,S3,8.49,0
2026-05-26,CloudFront,8.17,0
2026-05-26,EC2,40.68,0
2026-05-26,Lambda,7.09,0
2026-05-26,RDS,23.59,0
2026-05-26,S3,4.88,0
2026-05-27,CloudFront,8.96,0
2026-05-27,EC2,43.05,0
2026-05-27,Lambda,7.61,0
2026-05-27,RDS,20.58,0
2026-05-27,S3,10.38,0
2026-05-28,CloudFront,9.62,0
2026-05-28,EC2,49.62,0
2026-05-28,Lambda,5.15,0
2026-05-28,RDS,15.24,0
2026-05-28,S3,9.87,0
2026-05-29,CloudFront,6.68,0
2026-05-29,EC2,56.14,0
2026-05-29,Lambda,5.06,0
2026-05-29,RDS,20.64,0
2026-05-29,S3,9.05,0
2026-05-30,CloudFront,5.61,0
2026-05-30,EC2,38.49,0
2026-05-30,Lambda,3.83,0
2026-05-30,RDS,15.84,0
2026-05-30,S3,5.88,0
2026-05-31,CloudFront,10.98,0
2026-05-31,EC2,34.22,0
2026-05-31,Lambda,4.11,0
2026-05-31,RDS,16.95,0
2026-05-31,S3,6.12,0
2026-06-01,CloudFront,14.18,0
2026-06-01,EC2,40.49,0
2026-06-01,Lambda,5.32,0
2026-06-01,RDS,27.99,0
2026-06-01,S3,12.72,0
2026-06-02,CloudFront,10.18,0
2026-06-02,EC2,53.95,0
2026-06-02,Lambda,4.4,0
2026-06-02,RDS,16.71,0
2026-06-02,S3,11.99,0
2026-06-03,CloudFront,16.59,0
2026-06-03,EC2,47.75,0
2026-06-03,Lambda,6.15,0
2026-06-03,RDS,25.35,0
2026-06-03,S3,8.23,0
2026-06-04,CloudFront,10.82,0
2026-06-04,EC2,47.48,0
2026-06-04,Lambda,5.32,0
2026-06-04,RDS,24.99,0
2026-06-04,S3,7.47,0
2026-06-05,CloudFront,15.78,0
2026-06-05,EC2,54.26,0
2026-06-05,Lambda,8.46,0
2026-06-05,RDS,22.13,0
2026-06-05,S3,8.41,0
2026-06-06,CloudFront,11.71,0
2026-06-06,EC2,34.03,0
2026-06-06,Lambda,5.05,0
2026-06-06,RDS,18.0,0
2026-06-06,S3,6.41,0
2026-06-07,CloudFront,7.44,0
2026-06-07,EC2,34.99,0
2026-06-07,Lambda,3.94,0
2026-06-07,RDS,16.52,0
2026-06-07,S3,5.35,0
2026-06-08,CloudFront,13.4,0
2026-06-08,EC2,47.01,0
2026-06-08,Lambda,6.42,0
2026-06-08,RDS,24.91,0
2026-06-08,S3,9.66,0
2026-06-09,CloudFront,14.07,0
2026-06-09,EC2,46.95,0
2026-06-09,Lambda,6.38,0
2026-06-09,RDS,20.0,0
2026-06-09,S3,8.94,0
2026-06-10,CloudFront,10.01,0
2026-06-10,EC2,41.08,0
2026-06-10,Lambda,7.0,0
2026-06-10,RDS,19.6,0
2026-06-10,S3,8.5,0
2026-06-11,CloudFront,5.12,0
2026-06-11,EC2,35.72,0
2026-06-11,Lambda,3.74,0
2026-06-11,RDS,16.4,0
2026-06-11,S3,8.16,0
2026-06-12,CloudFront,13.34,0
2026-06-12,EC2,48.05,0
2026-06-12,Lambda,4.3,0
2026-06-12,RDS,24.37,0
2026-06-12,S3,10.51,0
2026-06-13,CloudFront,7.07,0
2026-06-13,EC2,30.2,0
2026-06-13,Lambda,3.54,0
2026-06-13,RDS,15.46,0
2026-06-13,S3,5.88,0
2026-06-14,CloudFront,8.27,0
2026-06-14,EC2,32.58,0
2026-06-14,Lambda,4.24,0
2026-06-14,RDS,12.95,0
2026-06-14,S3,9.9,0
2026-06-15,CloudFront,11.94,0
2026-06-15,EC2,49.16,0
2026-06-15,Lambda,1.75,0
2026-06-15,RDS,19.66,0
2026-06-15,S3,9.49,0
2026-06-16,CloudFront,12.83,0
2026-06-16,EC2,38.69,0
2026-06-16,Lambda,4.75,0
2026-06-16,RDS,24.9,0
2026-06-16,S3,9.35,0
2026-06-17,CloudFront,10.7,0
2026-06-17,EC2,59.74,0
2026-06-17,Lambda,7.27,0
2026-06-17,RDS,23.55,0
2026-06-17,S3,10.04,0
2026-06-18,CloudFront,12.1,0
2026-06-18,EC2,56.6,0
2026-06-18,Lambda,4.45,0
2026-06-18,RDS,19.77,0
2026-06-18,S3,11.93,0
2026-06-19,CloudFront,14.26,0
2026-06-19,EC2,46.09,0
2026-06-19,Lambda,6.03,0
2026-06-19,RDS,27.82,0
2026-06-19,S3,8.17,0
2026-06-20,CloudFront,5.21,0
2026-06-20,EC2,35.88,0
2026-06-20,Lambda,4.51,0
2026-06-20,RDS,16.81,0
2026-06-20,S3,7.55,0
2026-06-21,CloudFront,19.04,1
2026-06-21,EC2,32.11,0
2026-06-21,Lambda,4.59,0
2026-06-21,RDS,18.2,0
2026-06-21,S3,7.49,0
2026-06-22,CloudFront,8.8,0
2026-06-22,EC2,284.42,1
2026-06-22,Lambda,6.57,0
2026-06-22,RDS,23.48,0
2026-06-22,S3,10.99,0
2026-06-23,CloudFront,11.82,0
2026-06-23,EC2,48.9,0
2026-06-23,Lambda,6.91,0
2026-06-23,RDS,22.02,0
2026-06-23,S3,8.73,0
2026-06-24,CloudFront,7.43,0
2026-06-24,EC2,50.98,0
2026-06-24,Lambda,7.51,0
2026-06-24,RDS,24.38,0
2026-06-24,S3,10.83,0
2026-06-25,CloudFront,10.43,0
2026-06-25,EC2,43.27,0
2026-06-25,Lambda,5.32,0
2026-06-25,RDS,26.97,0
2026-06-25,S3,8.03,0
2026-06-26,CloudFront,7.83,0
2026-06-26,EC2,42.24,0
2026-06-26,Lambda,4.79,0
2026-06-26,RDS,21.96,0
2026-06-26,S3,5.35,0
2026-06-27,CloudFront,9.37,0
2026-06-27,EC2,28.64,0
2026-06-27,Lambda,4.61,0
2026-06-27,RDS,18.91,0
2026-06-27,S3,4.79,0
2026-06-28,CloudFront,7.59,0
2026-06-28,EC2,37.9,0
2026-06-28,Lambda,20.36,1
2026-06-28,RDS,15.21,0
2026-06-28,S3,6.82,0
2026-06-29,CloudFront,11.44,0
2026-06-29,EC2,58.2,0
2026-06-29,Lambda,5.97,0
2026-06-29,RDS,29.28,0
2026-06-29,S3,10.74,0
2026-06-30,CloudFront,15.58,0
2026-06-30,EC2,51.94,0
2026-06-30,Lambda,5.8,0
2026-06-30,RDS,20.14,0
2026-06-30,S3,9.36,0
2026-07-01,CloudFront,10.11,0
2026-07-01,EC2,190.78,1
2026-07-01,Lambda,6.49,0
2026-07-01,RDS,30.67,0
2026-07-01,S3,9.48,0
2026-07-02,CloudFront,12.58,0
2026-07-02,EC2,41.93,0
2026-07-02,Lambda,8.24,0
2026-07-02,RDS,18.73,0
2026-07-02,S3,10.18,0
2026-07-03,CloudFront,13.26,0
2026-07-03,EC2,44.63,0
2026-07-03,Lambda,6.04,0
2026-07-03,RDS,21.78,0
2026-07-03,S3,10.08,0
2026-07-04,CloudFront,10.59,0
2026-07-04,EC2,41.96,0
2026-07-04,Lambda,5.59,0
2026-07-04,RDS,112.75,1
2026-07-04,S3,8.39,0
2026-07-05,CloudFront,8.33,0
2026-07-05,EC2,28.5,0
2026-07-05,Lambda,4.77,0
2026-07-05,RDS,19.46,0
2026-07-05,S3,6.18,0
2026-07-06,CloudFront,11.03,0
2026-07-06,EC2,45.4,0
2026-07-06,Lambda,5.96,0
2026-07-06,RDS,30.63,0
2026-07-06,S3,9.9,0
2026-07-07,CloudFront,10.98,0
2026-07-07,EC2,54.87,0
2026-07-07,Lambda,5.24,0
2026-07-07,RDS,22.7,0
2026-07-07,S3,11.8,0
2026-07-08,CloudFront,12.34,0
2026-07-08,EC2,53.61,0
2026-07-08,Lambda,5.97,0
2026-07-08,RDS,31.9,0
2026-07-08,S3,9.89,0
2026-07-09,CloudFront,14.93,0
2026-07-09,EC2,46.34,0
2026-07-09,Lambda,5.9,0
2026-07-09,RDS,20.23,0
2026-07-09,S3,11.42,0
2026-07-10,CloudFront,10.88,0
2026-07-10,EC2,59.5,0
2026-07-10,Lambda,4.94,0
2026-07-10,RDS,28.65,0
2026-07-10,S3,8.43,0
2026-07-11,CloudFront,4.38,0
2026-07-11,EC2,33.14,0
2026-07-11,Lambda,3.77,0
2026-07-11,RDS,18.45,0
2026-07-11,S3,8.03,0
2026-07-12,CloudFront,10.0,0
2026-07-12,EC2,34.26,0
2026-07-12,Lambda,14.22,1
2026-07-12,RDS,21.15,0
2026-07-12,S3,8.04,0
2026-07-13,CloudFront,11.65,0
2026-07-13,EC2,35.09,0
